text,lemma,POS,explain,stopword,token
Python,Python,PROPN,proper noun,False,[]
Randomization,Randomization,PROPN,proper noun,False,[]
Random,Random,PROPN,proper noun,False,[]
good,good,ADJ,adjective,False,[]
reasons,reason,NOUN,noun,False,[]
learn,learn,VERB,verb,False,[]
leverage,leverage,NOUN,noun,False,[]
Python,Python,PROPN,proper noun,False,[]
Order,order,NOUN,noun,False,[]
relative,relative,ADJ,adjective,False,[]
notion,notion,NOUN,noun,False,[]
specific,specific,ADJ,adjective,False,[]
world,world,NOUN,noun,False,[]
representation,representation,NOUN,noun,False,[]
Arthur,Arthur,PROPN,proper noun,False,[]
Chop,Chop,PROPN,proper noun,False,[]
Schopenhauer,Schopenhauer,PROPN,proper noun,False,[]
says,say,VERB,verb,False,[]
time,time,NOUN,noun,False,[]
experience,experience,NOUN,noun,False,[]
teaches,teach,VERB,verb,False,[]
cloud,cloud,NOUN,noun,False,[]
silver,silver,ADJ,adjective,False,[]
lining,lining,NOUN,noun,False,[]
modestly,modestly,ADV,adverb,False,[]
discovered,discover,VERB,verb,False,[]
relative,relative,ADJ,adjective,False,[]
disorder,disorder,NOUN,noun,False,[]
efficient,efficient,ADJ,adjective,False,[]
absolute,absolute,ADJ,adjective,False,[]
order,order,NOUN,noun,False,[]
Right,right,INTJ,interjection,False,[]
Ooh,Ooh,PROPN,proper noun,False,[]
slow,slow,VERB,verb,False,[]
bit,bit,NOUN,noun,False,[]
easy,easy,ADJ,adjective,False,[]
peasy,peasy,NOUN,noun,False,[]
Q,Q,PROPN,proper noun,False,[]
sure,sure,ADJ,adjective,False,[]
ask,ask,VERB,verb,False,[]
interrogations,interrogation,NOUN,noun,False,[]
called,call,VERB,verb,False,[]
post,post,NOUN,noun,False,[]
dedicated,dedicated,ADJ,adjective,False,[]
Python,Python,PROPN,proper noun,False,[]
sense,sense,NOUN,noun,False,[]
reasons,reason,NOUN,noun,False,[]
bad,bad,ADJ,adjective,False,[]
introduce,introduce,VERB,verb,False,[]
philosophy,philosophy,NOUN,noun,False,[]
programming,programming,NOUN,noun,False,[]
practice,practice,NOUN,noun,False,[]
